2015-01-18 21:19:22,767 INFO  dajanka-U310-0 : The Grinder version 3.11
2015-01-18 21:19:22,775 INFO  dajanka-U310-0 : Java(TM) SE Runtime Environment 1.7.0_72-b14: Java HotSpot(TM) 64-Bit Server VM (24.72-b04, mixed mode) on Linux amd64 3.13.0-39-generic
2015-01-18 21:19:22,781 INFO  dajanka-U310-0 : time zone is CET (+0100)
2015-01-18 21:19:22,954 INFO  dajanka-U310-0 : worker process 0 of agent number 0
2015-01-18 21:19:23,011 INFO  dajanka-U310-0 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2015-01-18 21:19:24,925 INFO  dajanka-U310-0 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2015-01-18 21:19:26,052 INFO  dajanka-U310-0 : running "grinder.clj" using Clojure 1.4.0
2015-01-18 21:19:26,119 INFO  dajanka-U310-0 thread-0: starting, will do 30 runs
2015-01-18 21:19:26,120 INFO  dajanka-U310-0 : start time is 1421612366120 ms since Epoch
2015-01-18 21:19:26,238 INFO  dajanka-U310-0 thread-0 [ run-0, test-101 ]: http://localhost:3000/ -> 200 OK, 7441 bytes
2015-01-18 21:19:26,249 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 162 ms
2015-01-18 21:19:26,475 INFO  dajanka-U310-0 thread-0 [ run-0, test-102 ]: http://localhost:3000/style.css -> 200 OK, 26427 bytes
2015-01-18 21:19:26,495 INFO  dajanka-U310-0 thread-0 [ run-0, test-103 ]: http://localhost:3000/out/goog/base.js -> 200 OK, 61790 bytes
2015-01-18 21:19:26,518 INFO  dajanka-U310-0 thread-0 [ run-0, test-104 ]: http://localhost:3000/script/zelenerecepty_app.js -> 200 OK, 1404 bytes
2015-01-18 21:19:26,552 INFO  dajanka-U310-0 thread-0 [ run-0, test-105 ]: http://localhost:3000/images/facebook-link.png -> 200 OK, 723 bytes
2015-01-18 21:19:26,594 INFO  dajanka-U310-0 thread-0 [ run-0, test-106 ]: http://localhost:3000/images/sk-logo-mini.png -> 200 OK, 7786 bytes
2015-01-18 21:19:26,594 INFO  dajanka-U310-0 thread-0 [ run-0 ]: sleeping for 45 ms
2015-01-18 21:19:26,642 INFO  dajanka-U310-0 thread-0 [ run-0, test-107 ]: http://localhost:3000/images/thumbnails/guacamole.jpg -> 200 OK, 32946 bytes
2015-01-18 21:19:26,656 INFO  dajanka-U310-0 thread-0 [ run-0, test-108 ]: http://localhost:3000/images/thumbnails/brokolicovy-salat.jpg -> 200 OK, 29428 bytes
