Thread, Run, Test, Start time (ms since Epoch), Test time, Errors, HTTP response code, HTTP response length, HTTP response errors, Time to resolve host, Time to establish connection, Time to first byte, New connections
0, 0, 101, 1421612366231, 91, 0, 200, 7441, 0, 0, 1, 80, 1
0, 0, 102, 1421612366521, 6, 0, 200, 26427, 0, 0, 0, 2, 0
0, 0, 103, 1421612366528, 4, 0, 200, 61790, 0, 0, 0, 3, 0
0, 0, 104, 1421612366533, 5, 0, 200, 1404, 0, 0, 0, 2, 0
0, 0, 105, 1421612366539, 13, 0, 200, 723, 0, 0, 0, 11, 0
0, 0, 106, 1421612366553, 12, 0, 200, 7786, 0, 0, 0, 11, 0
0, 0, 107, 1421612366611, 25, 0, 200, 32946, 0, 0, 0, 25, 0
0, 0, 108, 1421612366637, 19, 0, 200, 29428, 0, 0, 0, 19, 0
0, 0, 109, 1421612366657, 8, 0, 200, 23985, 0, 0, 0, 7, 0
0, 0, 110, 1421612366665, 16, 0, 200, 15732, 0, 0, 0, 15, 0
0, 0, 111, 1421612366702, 2, 0, 304, 0, 0, 0, 0, 2, 0
0, 0, 112, 1421612366704, 3, 0, 200, 38453, 0, 0, 0, 2, 0
0, 0, 113, 1421612366707, 12, 0, 200, 8528, 0, 0, 0, 11, 0
0, 0, 114, 1421612366787, 4, 0, 200, 31909, 0, 0, 0, 2, 0
0, 0, 115, 1421612366792, 29, 0, 200, 27620, 0, 0, 0, 26, 0
0, 0, 116, 1421612366875, 13, 0, 200, 17244, 0, 0, 0, 12, 0
0, 0, 117, 1421612366889, 6, 0, 200, 32767, 0, 0, 0, 4, 0
0, 0, 118, 1421612366896, 18, 0, 200, 1474, 0, 0, 0, 17, 0
0, 0, 119, 1421612366915, 14, 0, 200, 1449, 0, 0, 0, 12, 0
0, 0, 120, 1421612366930, 4, 0, 200, 47726, 0, 0, 0, 4, 0
0, 0, 121, 1421612366935, 2, 0, 200, 12764, 0, 0, 0, 1, 0
0, 0, 122, 1421612366938, 3, 0, 200, 56440, 0, 0, 0, 2, 0
0, 0, 123, 1421612366941, 8, 0, 200, 4603, 0, 0, 0, 8, 0
0, 0, 124, 1421612366950, 3, 0, 200, 8535, 0, 0, 0, 2, 0
0, 0, 125, 1421612366984, 7, 0, 200, 3934, 0, 0, 0, 2, 0
0, 0, 126, 1421612367019, 4, 0, 200, 15676, 0, 0, 0, 2, 0
